label,area_um2,ecd_um,circularity,solidity,centroid_x_px,centroid_y_px,type
2,84.606,10.379,0.1914,0.6477,30.8,21.2,inter
3,48.444,7.854,0.2541,0.7165,152.1,15.2,inter
4,0.532,0.823,1.0,1.0,152.1,0.9,intra
5,4.829,2.48,0.5529,0.8944,219.3,2.4,intra
6,45.478,7.609,0.1963,0.6945,249.1,15.8,inter
7,39.812,7.12,0.3815,0.8154,352.2,19.4,inter
8,17.986,4.785,0.5825,0.8477,436.2,9.3,intra
9,3.764,2.189,0.6738,0.7984,490.9,6.3,intra
10,15.134,4.39,0.5337,0.8089,558.4,10.0,intra
11,101.755,11.382,0.1363,0.6254,599.3,43.6,inter
12,0.875,1.055,0.9271,0.8846,264.8,8.4,intra
13,0.684,0.934,1.0,0.9474,188.9,8.1,intra
15,6.654,2.911,0.1647,0.3188,321.8,20.7,inter
16,19.469,4.979,0.262,0.6522,491.3,32.2,inter
17,0.761,0.984,0.9688,0.9091,408.9,19.2,intra
18,3.422,2.087,0.4592,0.6923,632.5,26.2,intra
19,7.187,3.025,0.4202,0.7214,654.7,33.6,inter
21,3.004,1.956,0.9268,0.908,219.3,28.4,intra
22,197.426,15.855,0.151,0.6453,430.5,79.6,inter
23,6.122,2.792,0.748,0.8846,519.6,37.1,intra
24,1.293,1.283,1.0,1.0,545.0,30.5,intra
25,2.167,1.661,0.8012,0.8906,106.3,32.5,intra
26,1.331,1.302,1.0,0.9459,95.2,32.7,intra
27,0.608,0.88,1.0,0.9412,345.6,34.8,intra
28,0.951,1.1,1.0,0.7353,91.8,40.5,intra
29,3.726,2.178,0.5156,0.7424,253.4,41.3,intra
30,0.532,0.823,1.0,0.8235,101.1,40.4,intra
31,61.715,8.864,0.2541,0.5717,356.0,82.4,inter
32,4.183,2.308,0.6321,0.7914,52.0,46.1,intra
33,251.611,17.899,0.0541,0.4582,577.4,110.3,inter
34,1.293,1.283,0.9782,0.8947,38.5,48.3,intra
35,7.719,3.135,0.4009,0.7148,73.2,57.6,inter
36,1.027,1.143,1.0,0.9643,486.7,56.6,intra
37,1.787,1.508,0.9851,0.9038,651.4,63.1,intra
38,10.761,3.702,0.6445,0.8654,210.9,71.2,intra
39,1.179,1.225,0.5902,0.6889,116.1,66.3,intra
40,0.722,0.959,1.0,0.8636,109.0,71.5,intra
41,0.684,0.934,0.9433,0.8182,265.8,73.4,intra
43,3.536,2.122,0.4253,0.7381,634.9,85.4,intra
44,82.21,10.231,0.1409,0.4885,136.4,112.4,inter
45,4.183,2.308,0.4342,0.6962,63.7,92.7,intra
46,2.358,1.733,0.8141,0.775,280.0,91.6,intra
48,2.434,1.76,0.6361,0.7191,273.4,103.6,intra
49,0.875,1.055,1.0,0.92,286.1,101.1,intra
50,1.141,1.205,0.8631,0.8108,631.6,104.3,intra
52,3.498,2.11,0.7029,0.8214,283.9,114.8,intra
53,360.629,21.428,0.0465,0.4147,305.6,184.0,inter
54,36.618,6.828,0.3345,0.7529,371.1,131.9,inter
