label,area_um2,ecd_um,circularity,solidity,centroid_x_px,centroid_y_px,type
1,1.255,1.264,0.7791,0.8919,130.2,1.0,intra
2,1.559,1.409,0.7539,0.8723,141.6,4.1,intra
3,0.57,0.852,1.0,1.0,151.4,1.6,intra
4,0.646,0.907,1.0,0.85,174.4,0.8,intra
5,2.548,1.801,0.5969,0.859,181.5,5.5,intra
6,0.684,0.934,0.6671,1.0,219.5,0.5,intra
7,0.57,0.852,1.0,1.0,315.7,1.3,intra
8,5.97,2.757,0.2533,0.5947,329.8,8.9,inter
9,1.597,1.426,0.6127,0.7925,395.2,3.7,intra
10,1.597,1.426,0.5312,0.6774,433.5,3.4,intra
12,0.989,1.122,0.7973,0.6842,490.0,1.0,intra
13,1.217,1.245,0.7532,0.6531,514.2,2.3,intra
14,2.814,1.893,0.8502,0.925,602.2,3.8,intra
15,2.89,1.918,0.5988,0.8941,626.5,3.2,intra
16,1.939,1.571,0.5908,0.7183,651.7,2.8,intra
17,2.51,1.788,0.7473,0.9041,673.5,3.4,intra
18,2.396,1.746,0.428,0.6848,29.5,6.3,intra
20,0.608,0.88,1.0,0.9412,53.9,3.8,intra
21,1.407,1.338,1.0,0.9024,381.3,4.4,intra
23,1.597,1.426,0.6395,0.8235,234.9,4.8,intra
24,1.027,1.143,0.9535,0.8438,260.4,4.3,intra
25,5.133,2.557,0.3739,0.6923,282.5,8.7,inter
26,5.057,2.538,0.8432,0.911,531.4,9.0,intra
27,1.369,1.32,0.9433,0.766,554.5,6.6,intra
30,2.053,1.617,0.5316,0.7606,90.7,5.9,intra
31,1.217,1.245,1.0,0.9143,213.0,5.9,intra
32,1.065,1.164,0.9106,0.8485,298.2,4.8,intra
33,1.521,1.392,0.5835,0.7018,543.9,8.5,intra
34,0.646,0.907,1.0,0.9444,242.0,5.9,intra
35,1.635,1.443,0.8163,0.8269,364.5,7.4,intra
36,1.293,1.283,1.0,0.9189,406.8,7.0,intra
37,0.608,0.88,1.0,0.9412,559.7,6.2,intra
38,0.989,1.122,0.6138,0.6667,573.3,9.0,intra
40,1.179,1.225,0.5981,0.7209,592.3,8.9,intra
41,0.837,1.032,0.8466,0.7586,4.5,7.5,intra
42,0.989,1.122,0.9351,0.8387,254.1,7.5,intra
43,0.761,0.984,1.0,0.9091,416.5,7.0,intra
44,0.608,0.88,1.0,1.0,192.5,8.0,intra
45,0.532,0.823,0.8886,0.7778,304.1,7.5,intra
46,2.358,1.733,0.5288,0.775,470.6,8.4,intra
48,0.684,0.934,1.0,0.9,19.1,10.6,intra
50,4.449,2.38,0.2798,0.5571,641.2,17.1,intra
51,0.608,0.88,1.0,0.9412,371.7,10.5,intra
53,1.407,1.338,0.7755,0.8043,45.1,12.2,intra
54,0.722,0.959,1.0,1.0,231.0,12.0,intra
55,1.255,1.264,0.7178,0.75,353.5,11.5,intra
56,0.875,1.055,0.9642,0.92,412.3,12.3,intra
57,0.646,0.907,1.0,1.0,585.7,10.3,intra
58,2.776,1.88,0.4606,0.7157,165.8,17.9,intra
61,2.129,1.647,0.5045,0.7,432.1,15.1,intra
62,0.951,1.1,0.8101,0.7576,440.1,13.9,intra
65,0.57,0.852,1.0,0.8333,399.7,14.1,intra
66,0.875,1.055,0.8651,0.8846,633.3,15.0,intra
67,1.559,1.409,0.9974,0.9318,88.6,15.8,intra
69,8.822,3.351,0.1637,0.4377,348.5,31.2,inter
71,0.532,0.823,1.0,1.0,518.6,15.2,intra
72,0.989,1.122,0.748,0.8125,598.2,16.7,intra
75,2.32,1.719,0.4073,0.6354,191.3,17.8,intra
76,0.722,0.959,0.9445,0.8261,310.1,15.9,intra
77,1.027,1.143,0.7924,0.7941,670.1,16.9,intra
78,0.722,0.959,1.0,1.0,16.8,16.5,intra
79,0.608,0.88,1.0,1.0,131.5,17.5,intra
80,0.951,1.1,0.5138,0.6579,237.6,20.9,intra
81,0.608,0.88,0.8654,0.6957,321.5,18.2,intra
82,0.761,0.984,1.0,0.8333,384.5,18.2,intra
83,6.426,2.86,0.3984,0.7191,502.3,21.8,inter
84,0.722,0.959,1.0,0.7917,81.3,18.8,intra
85,0.57,0.852,1.0,1.0,176.3,18.1,intra
87,0.684,0.934,1.0,0.9,358.5,18.7,intra
88,0.646,0.907,1.0,0.8947,376.1,18.2,intra
89,0.608,0.88,1.0,0.8889,525.4,17.8,intra
90,0.913,1.078,1.0,0.96,609.0,18.1,intra
91,0.608,0.88,1.0,0.9412,653.5,17.8,intra
94,3.574,2.133,0.3812,0.6184,275.1,24.6,intra
95,0.646,0.907,1.0,0.9444,514.9,18.9,intra
96,0.532,0.823,1.0,0.875,23.2,19.6,intra
97,1.103,1.185,0.6492,0.6744,147.3,21.3,intra
98,1.711,1.476,0.7355,0.8182,43.5,21.6,intra
99,2.243,1.69,0.4035,0.5619,99.3,26.9,intra
100,2.32,1.719,0.5485,0.7722,232.7,25.6,intra
101,0.646,0.907,1.0,1.0,488.1,20.6,intra
103,2.358,1.733,1.0,0.9688,549.9,23.0,intra
104,1.749,1.492,0.6773,0.8214,673.5,23.8,intra
105,3.955,2.244,0.7359,0.8966,258.7,27.3,intra
106,2.015,1.602,0.9088,0.8983,577.8,23.2,intra
107,0.57,0.852,1.0,0.8333,642.8,22.5,intra
108,0.646,0.907,1.0,0.9444,649.3,23.2,intra
110,1.559,1.409,0.6906,0.82,62.8,26.2,intra
111,4.183,2.308,0.3429,0.6962,75.8,29.5,intra
112,0.761,0.984,0.8094,0.625,293.0,25.6,intra
113,3.612,2.145,0.3906,0.6419,331.1,30.3,intra
114,10.191,3.602,0.1743,0.5503,385.3,31.5,inter
115,0.761,0.984,1.0,0.8333,443.5,23.5,intra
117,1.559,1.409,0.7559,0.8039,133.5,25.5,intra
118,1.217,1.245,1.0,0.9143,469.6,26.5,intra
119,4.221,2.318,0.1965,0.4036,660.8,34.4,intra
121,1.217,1.245,0.7398,0.8205,93.1,28.5,intra
122,2.015,1.602,0.3757,0.5048,177.6,32.2,intra
123,1.293,1.283,0.6455,0.7234,599.1,28.1,intra
124,2.243,1.69,0.8628,0.7662,199.7,28.7,intra
125,0.532,0.823,1.0,0.8235,266.9,26.9,intra
126,0.532,0.823,1.0,1.0,434.9,26.1,intra
127,0.646,0.907,0.7512,0.7391,451.5,27.9,intra
129,1.179,1.225,0.8123,0.8611,620.7,27.7,intra
